user_id,design_id,type
10455319,25473229,create
10455319,25515817,create
10455319,40912577,create
10455319,25471617,create
10455319,28776219,create
10455319,25471265,create
10455319,25471871,create
10455319,25473943,create
10455319,25475755,create
10455319,25582399,create
10455319,27073129,create
10455319,25472257,create
10455319,28223367,create
10455319,25471511,create
10455319,25472591,create
253059,905318,appreciate
253059,21652653,appreciate
253059,23017191,appreciate
253059,23966319,appreciate
253059,18380445,appreciate
253059,21640117,appreciate
253059,23349519,appreciate
253059,28355207,appreciate
253059,35332563,create
253059,35328849,create
253059,35324961,create
253059,28355207,create
253059,25562009,create
253059,24142093,create
253059,20589207,create
253059,16098681,create
253059,16097981,create
253059,16134119,create
253059,785901,create
253059,22479749,create
253059,16098873,create
253059,4647321,create
253059,21284047,create
253059,22480101,create
253059,5714239,create
253059,905318,create
253059,2337332,create
253059,2310278,create
253059,788363,create
253059,1041403,create
253059,786080,create
253059,1103153,create
253059,1243963,create
253059,1042157,create
253059,902882,create
253059,18368493,create
253059,18369257,create
253059,4374331,create
253059,1137095,create
253059,4356099,create
253059,4375115,create
253059,4374995,create
253059,4374963,create
253059,4375077,create
253059,4375205,create
253059,4375175,create
253059,1151511,create
253059,4670543,create
253059,4375143,create
253059,4375047,create
253059,4375015,create
3611017,12917067,create
3611017,17839153,create
3611017,22655343,create
3611017,15886967,create
3611017,15713465,create
3611017,23391441,create
3611017,23592015,create
3611017,23633889,create
3611017,23945821,create
3611017,24441399,create
3611017,24606437,create
3611017,25176345,create
3611017,27017591,create
3611017,27096125,create
3611017,28669189,create
3611017,28934071,create
3611017,11374657,create
3611017,11447429,create
3611017,11511627,create
3611017,11755597,create
3611017,11875795,create
3611017,11943363,create
3611017,16257581,create
3611017,11443433,create
3611017,12044301,create
3611017,11374483,create
3611017,14232443,create
3611017,14984931,create
3611017,12691751,create
3611017,12213755,create
3611017,13526061,create
3611017,12472573,create
3611017,11511677,create
3611017,12916919,create
3611017,15714187,create
3611017,14752817,create
3611017,17511355,create
3611017,17655649,create
3611017,18160093,create
3611017,18311579,create
3611017,18646695,create
3611017,18788749,create
3611017,18808349,create
3611017,18946933,create
3611017,19254649,create
3611017,19432633,create
3611017,11374585,create
3611017,20456181,create
3611017,20989347,create
3611017,21168749,create
3611017,21361979,create
3611017,21539381,create
3611017,21774545,create
3611017,22296245,create
3611017,22463425,create
3611017,11460681,create
3611017,20634675,create
3611017,12398257,create
3611017,20808291,create
3611017,24010011,create
3611017,19117967,create
3611017,19576939,create
3611017,23027969,create
3611017,23174815,create
3611017,25998959,create
3611017,27803293,create
386015,5370483,appreciate
386015,1291265,appreciate
386015,1308081,appreciate
386015,1292423,appreciate
386015,1303617,appreciate
386015,1719137,appreciate
386015,1703541,appreciate
386015,1292423,create
386015,1291513,create
386015,1291265,create
386015,1308081,create
386015,1292493,create
386015,1303617,create
386015,1719137,create
386015,1703541,create
386015,5370483,create
2676689,12461625,appreciate
2676689,12464133,appreciate
2676689,12463401,appreciate
2676689,11812507,appreciate
2676689,11812755,appreciate
2676689,12455081,appreciate
2676689,12456149,appreciate
2676689,43795617,create
2676689,42599097,create
2676689,42496549,create
2676689,42496959,create
2676689,42496031,create
2676689,42447321,create
2676689,42447175,create
2676689,42447073,create
2676689,42494971,create
2676689,42495341,create
2676689,42495609,create
2676689,12456149,create
2676689,12464643,create
2676689,12464133,create
2676689,12461625,create
2676689,12457029,create
2676689,11812755,create
2676689,11812507,create
2676689,12455081,create
2676689,11812203,create
2676689,12463401,create
2676689,12466153,create
2676689,42415403,create
2676689,42267703,create
2676689,34734333,create
2676689,34102688,create
2676689,34074106,create
2676689,27154153,create
2676689,22479947,create
2676689,9259691,create
5225375,32482315,appreciate
5225375,44790967,appreciate
5225375,44839313,appreciate
5225375,43838429,appreciate
5225375,7061769,appreciate
5225375,42263657,create
5225375,43885801,create
5225375,27765965,create
5225375,43797957,create
5225375,24526971,create
5225375,43620857,create
10140135,37706907,appreciate
10140135,43587115,create
10140135,40232993,create
10140135,37706907,create
10140135,35409023,create
10140135,30952361,create
10140135,33332191,create
10140135,22108983,create
10140135,28331369,create
10140135,28330513,create
10140135,21911799,create
10140135,21912479,create
10140135,21918847,create
10140135,21914963,create
10140135,21919899,create
10140135,21921161,create
10140135,21921225,create
14209263,32458565,appreciate
14209263,43712657,appreciate
14209263,37254855,appreciate
14209263,43543101,appreciate
14209263,43241085,appreciate
14209263,42407833,appreciate
14209263,42407833,create
14209263,40765531,create
14209263,40617375,create
14209263,38585785,create
14209263,43241085,create
14209263,33091287,create
14209263,34242047,create
14209263,36177037,create
14209263,33536615,create
14209263,36639151,create
14209263,34104376,create
14209263,35359507,create
14209263,37903257,create
14209263,36205327,create
14209263,43712657,create
14209263,43342765,create
14209263,38670833,create
14209263,37633165,create
14209263,36085699,create
14209263,35906511,create
14209263,34941377,create
14209263,33761652,create
14209263,33305147,create
14209263,31816239,create
14209263,34442009,create
14209263,32202057,create
14209263,32254827,create
14209263,31076519,create
14209263,30904387,create
14209263,29450893,create
14209263,29653591,create
14209263,29196381,create
5969107,28764453,appreciate
5969107,20381987,appreciate
5969107,42259703,create
5969107,42151347,create
5969107,41746009,create
5969107,37275351,create
5969107,36431377,create
5969107,32544927,create
5969107,30072957,create
5969107,28293755,create
5969107,27635683,create
5969107,27448129,create
5969107,27119807,create
5969107,26935803,create
5969107,26737953,create
5969107,26657219,create
5969107,26251707,create
5969107,25162045,create
5969107,25013963,create
5969107,24948517,create
5969107,23835353,create
5969107,23544189,create
5969107,23296993,create
5969107,23187891,create
5969107,23116121,create
5969107,22303193,create
5969107,21991193,create
5969107,21753787,create
5969107,21489093,create
5969107,21430313,create
5969107,21430235,create
5969107,21429963,create
5969107,21364207,create
5969107,21364119,create
5969107,21121597,create
5969107,20381987,create
5969107,20081017,create
5969107,20080961,create
5969107,20080787,create
5969107,19369683,create
5969107,19369621,create
5969107,19369535,create
5969107,18713217,create
5969107,18476735,create
5969107,18465145,create
5969107,18465081,create
5969107,17382307,create
260221,36084139,appreciate
260221,32104799,appreciate
260221,31615475,appreciate
260221,26428843,appreciate
260221,26971405,appreciate
260221,22639721,appreciate
260221,21540437,appreciate
260221,21833771,appreciate
260221,21572797,appreciate
260221,20986367,appreciate
260221,16610449,appreciate
260221,16024403,appreciate
260221,11568939,appreciate
260221,1785114,create
260221,8844987,create
260221,36084139,create
260221,1343519,create
260221,1589003,create
260221,21572797,create
260221,21540437,create
260221,7845089,create
260221,21833771,create
260221,16024403,create
260221,22639721,create
260221,1333785,create
260221,8843857,create
260221,26971405,create
260221,32104799,create
37619887,44071835,appreciate
37619887,27863663,appreciate
37619887,40859489,appreciate
37619887,38013889,appreciate
37619887,32641503,appreciate
37619887,31279349,appreciate
37619887,42839387,appreciate
37619887,44546665,appreciate
37619887,44546665,create
37619887,44546239,create
37619887,44546497,create
1884727,6084747,create
1884727,6085623,create
1884727,6085555,create
1884727,6085037,create
1884727,6111681,create
1884727,6085143,create
1884727,6121341,create
1884727,6121263,create
1884727,6085501,create
1884727,6085351,create
1884727,6085827,create
1884727,6111581,create
1884727,6086089,create
1884727,6086293,create
1884727,6086521,create
1884727,6086797,create
1884727,6089919,create
432517,29233379,appreciate
432517,33664814,appreciate
432517,31471593,appreciate
432517,40701931,appreciate
432517,41023081,appreciate
432517,32753399,create
432517,32753107,create
432517,31867477,create
432517,25574895,create
432517,23347897,create
432517,17855081,create
432517,17159493,create
